hospital_id,name,lat,lng,level,specialties,reputation_score,avg_cost_score,booking_url,address
HCM_001,Bệnh viện Chợ Rẫy,10.7576,106.6602,trung ương,"tim mạch,thần kinh,ngoại khoa,ung bướu",0.95,0.3,https://booking.choray.vn,"201B Nguyễn Chí Thanh, Q5, TP.HCM"
HCM_002,Bệnh viện Đại học Y Dược TP.HCM,10.7629,106.6575,trung ương,"tim mạch,tiêu hóa,nội khoa,ngoại khoa",0.9,0.4,https://umc.edu.vn,"215 Hồng Bàng, Q5, TP.HCM"
HCM_003,Bệnh viện Nhân Dân 115,10.7665,106.6668,thành phố,"đột quỵ,thần kinh,tim mạch,cấp cứu",0.85,0.5,https://benhvien115.com.vn,"527 Sư Vạn Hạnh, Q10, TP.HCM"
HCM_004,Bệnh viện Từ Dũ,10.7713,106.6906,chuyên khoa,"sản khoa,phụ khoa,hiếm muộn,sơ sinh",0.92,0.4,https://tudu.com.vn,"284 Cống Quỳnh, Q1, TP.HCM"
HCM_005,Bệnh viện Nhi Đồng 1,10.7638,106.6847,chuyên khoa,"nhi khoa,hô hấp,tiêu hóa,nhiễm",0.9,0.6,https://nhidong.org.vn,"341 Sư Vạn Hạnh, Q10, TP.HCM"
HCM_006,Bệnh viện Nhi Đồng 2,10.7769,106.7006,chuyên khoa,"nhi khoa,ngoại nhi,hô hấp",0.88,0.6,https://nhidong2.org.vn,"14 Lý Tự Trọng, Q1, TP.HCM"
HCM_007,Bệnh viện Ung Bướu TP.HCM,10.7862,106.6721,chuyên khoa,"ung bướu,hóa trị,xạ trị",0.9,0.5,https://benhvienungbuou.vn,"3 Nơ Trang Long, Bình Thạnh, TP.HCM"
HCM_008,Bệnh viện Bình Dân,10.7631,106.6569,trung ương,"ngoại khoa,tiết niệu,nam khoa",0.87,0.5,https://binhdan.org.vn,"371 Điện Biên Phủ, Q3, TP.HCM"
HCM_009,Bệnh viện Thống Nhất,10.7976,106.6538,trung ương,"tim mạch,lão khoa,nội khoa",0.88,0.5,https://bvtn.org.vn,"1 Lý Thường Kiệt, Tân Bình, TP.HCM"
HCM_010,Bệnh viện Quân y 175,10.8155,106.6806,trung ương,"đa khoa,ngoại khoa,cấp cứu",0.9,0.45,https://bv175.vn,"786 Nguyễn Kiệm, Gò Vấp, TP.HCM"
HCM_011,Bệnh viện Nguyễn Tri Phương,10.7534,106.6632,thành phố,"nội khoa,ngoại khoa,tiêu hóa",0.82,0.55,https://bvnguyentriphuong.vn,"468 Nguyễn Trãi, Q5, TP.HCM"
HCM_012,Bệnh viện Trưng Vương,10.7815,106.6661,thành phố,"nội khoa,hô hấp,cấp cứu",0.8,0.6,https://bvtrungvuong.vn,"266 Lý Thường Kiệt, Q10, TP.HCM"
HCM_013,Bệnh viện Hùng Vương,10.7545,106.6687,chuyên khoa,"sản khoa,phụ khoa",0.86,0.5,https://bvhumgvuong.vn,"128 Hồng Bàng, Q5, TP.HCM"
HCM_014,Bệnh viện Phạm Ngọc Thạch,10.7782,106.6829,chuyên khoa,"hô hấp,lao phổi",0.86,0.55,https://bvphamngocthach.vn,"120 Hồng Bàng, Q5, TP.HCM"
HCM_015,Bệnh viện Da Liễu TP.HCM,10.7802,106.6895,chuyên khoa,"da liễu,thẩm mỹ",0.85,0.6,https://bvdl.org.vn,"2 Nguyễn Thông, Q3, TP.HCM"
HCM_016,Bệnh viện Mắt TP.HCM,10.7724,106.6941,chuyên khoa,"nhãn khoa",0.85,0.55,https://bvmathcm.vn,"280 Điện Biên Phủ, Q3, TP.HCM"
HCM_017,Bệnh viện Tai Mũi Họng TP.HCM,10.7821,106.6882,chuyên khoa,"tai mũi họng,thính học",0.84,0.6,https://taimuihongtphcm.vn,"155B Trần Quốc Thảo, Q3, TP.HCM"
HCM_018,Bệnh viện Răng Hàm Mặt Trung ương TP.HCM,10.7756,106.6934,chuyên khoa,"răng hàm mặt,phẫu thuật hàm",0.87,0.5,https://ranghammat.vn,"263-265 Trần Hưng Đạo, Q1, TP.HCM"
HCM_019,Bệnh viện Y học Cổ truyền TP.HCM,10.7701,106.6754,chuyên khoa,"y học cổ truyền,phục hồi chức năng",0.78,0.7,https://medpro.vn/,"179 Nam Kỳ Khởi Nghĩa, Q3, TP.HCM"
HCM_020,Bệnh viện Quận 1,10.7728,106.7034,quận,"nội khoa,cấp cứu",0.65,0.85,https://medpro.vn/,"338 Hai Bà Trưng, Q1, TP.HCM"
HCM_021,Bệnh viện Quận 3,10.7811,106.6822,quận,"nội khoa,ngoại khoa",0.66,0.85,https://medpro.vn/,"114-116 Trần Quốc Thảo, Q3, TP.HCM"
HCM_022,Bệnh viện Quận 4,10.7589,106.7051,quận,"nội khoa,cấp cứu",0.64,0.9,https://medpro.vn/,"63 Bến Vân Đồn, Q4, TP.HCM"
HCM_023,Bệnh viện Quận 7,10.7376,106.7219,quận,"đa khoa,cấp cứu",0.63,0.9,https://medpro.vn/,"101 Nguyễn Thị Thập, Q7, TP.HCM"
HCM_024,Bệnh viện Quận 10,10.7749,106.6679,quận,"đa khoa,cấp cứu",0.64,0.9,https://medpro.vn/,"572 Nguyễn Chí Thanh, Q10, TP.HCM"
HCM_025,Bệnh viện Quận 11,10.7621,106.6504,quận,"nội khoa,ngoại khoa",0.63,0.9,https://medpro.vn/,"72 Bình Thới, Q11, TP.HCM"
HCM_026,Bệnh viện Gia Định,10.8011,106.7042,thành phố,"đa khoa,nội khoa,ngoại khoa",0.8,0.55,https://medpro.vn/,"425 Nơ Trang Long, Bình Thạnh, TP.HCM"
HCM_027,Bệnh viện Lê Văn Thịnh,10.8436,106.7541,thành phố,"đa khoa,ngoại khoa",0.78,0.6,https://medpro.vn/,"130 Lê Văn Thịnh, TP Thủ Đức"
HCM_028,Bệnh viện TP Thủ Đức,10.8502,106.7718,thành phố,"đa khoa,cấp cứu",0.77,0.6,https://medpro.vn/,"64 Lê Văn Chí, TP Thủ Đức"
HCM_029,Bệnh viện Quốc tế Vinmec Central Park,10.7951,106.7218,tư nhân,"đa khoa,nhi khoa,phẫu thuật",0.88,0.2,https://vinmec.com,"208 Nguyễn Hữu Cảnh, Bình Thạnh, TP.HCM"
HCM_030,Bệnh viện FV,10.7287,106.7216,tư nhân,"đa khoa,ung bướu,ngoại khoa",0.87,0.2,https://fvhospital.com,"6 Nguyễn Lương Bằng, Q7, TP.HCM"
HCM_031,Bệnh viện Hoàn Mỹ Sài Gòn,10.7839,106.6873,tư nhân,"đa khoa,nội khoa,ngoại khoa",0.83,0.35,https://hoanmy.com,"60 Phan Xích Long, Phú Nhuận, TP.HCM"
HCM_032,Bệnh viện Quốc tế City,10.7436,106.6127,tư nhân,"đa khoa,nội khoa,ngoại khoa",0.82,0.3,https://cih.com.vn,"3 Đường 17A, Bình Tân, TP.HCM"
HCM_033,Bệnh viện Quốc tế Columbia Asia Gia Định,10.8042,106.6983,tư nhân,"đa khoa,nội khoa",0.8,0.3,https://medpro.vn/,"1 Nơ Trang Long, Bình Thạnh, TP.HCM"
HCM_034,Phòng khám Đa khoa CarePlus,10.7809,106.6996,tư nhân,"đa khoa,gia đình,nội khoa",0.75,0.4,https://careplusvn.com,"107 Tôn Dật Tiên, Q7, TP.HCM"
HCM_035,Phòng khám Victoria Healthcare,10.7818,106.6921,tư nhân,"đa khoa,nhi khoa,gia đình",0.76,0.35,https://victoriahealthcare.vn,"37 Nguyễn Văn Trỗi, Phú Nhuận, TP.HCM"
HCM_036,Phòng khám Bernard Healthcare,10.7871,106.6992,tư nhân,"tầm soát,chẩn đoán,nội khoa",0.78,0.3,https://bernard.vn,"201 Nam Kỳ Khởi Nghĩa, Q3, TP.HCM"
