id,disease_name,symptoms,treatment,prevention,description
1,Cảm cúm,"Sốt, ho, đau họng, chảy nước mũi, đau nhức cơ thể, mệt mỏi","Nghỉ ngơi, uống nhiều nước, dùng thuốc hạ sốt (Paracetamol), thuốc giảm đau.","Tiêm vắc-xin cúm hàng năm, rửa tay thường xuyên, tránh tiếp xúc với người bệnh.","Bệnh truyền nhiễm đường hô hấp cấp tính do virus cúm gây ra."
2,Sốt xuất huyết,"Sốt cao đột ngột, đau đầu dữ dội, đau phía sau mắt, đau khớp và cơ, phát ban, chảy máu nhẹ (chảy máu cam, nướu răng).","Không có thuốc đặc trị, chủ yếu điều trị triệu chứng: hạ sốt (Paracetamol), bù nước và điện giải. KHÔNG dùng Aspirin hoặc Ibuprofen.","Diệt muỗi, lăng quăng/bọ gậy, ngủ màn, mặc quần áo dài tay.","Bệnh truyền nhiễm cấp tính do virus Dengue gây ra, lây truyền qua muỗi vằn."
3,Viêm dạ dày,"Đau vùng thượng vị, buồn nôn, nôn, ợ hơi, ợ chua, chán ăn, đầy bụng.","Dùng thuốc kháng axit, thuốc ức chế bơm proton (PPI), thuốc diệt vi khuẩn HP (nếu có), thay đổi chế độ ăn uống.","Ăn uống điều độ, tránh thức ăn cay nóng, chua, hạn chế rượu bia, không hút thuốc lá, giảm stress.","Tình trạng viêm niêm mạc dạ dày, có thể cấp tính hoặc mãn tính."
4,Tăng huyết áp,"Thường không có triệu chứng rõ ràng (kẻ giết người thầm lặng). Có thể đau đầu, chóng mặt, hồi hộp, đỏ mặt.","Thay đổi lối sống (ăn nhạt, tập thể dục), dùng thuốc hạ huyết áp theo chỉ định của bác sĩ.","Duy trì cân nặng hợp lý, ăn nhạt, hạn chế rượu bia, không hút thuốc, tập thể dục đều đặn, kiểm soát căng thẳng.","Tình trạng áp lực máu lưu thông trong các động mạch tăng cao kéo dài."
5,Tiểu đường type 2,"Khát nước nhiều, đi tiểu nhiều, ăn nhiều nhưng sụt cân, mệt mỏi, mờ mắt, vết thương lâu lành.","Chế độ ăn uống lành mạnh, tập thể dục, dùng thuốc hạ đường huyết hoặc tiêm insulin theo chỉ định.","Duy trì cân nặng lý tưởng, ăn uống cân đối, hạn chế đường và tinh bột, tập thể dục thường xuyên.","Bệnh rối loạn chuyển hóa do khiếm khuyết về tiết insulin hoặc tác động của insulin."
6,Rối loạn tiêu hóa,"Đau bụng, đầy hơi, khó tiêu, tiêu chảy hoặc táo bón.","Bù nước và điện giải (Oresol), men vi sinh, thuốc cầm tiêu chảy hoặc nhuận tràng tùy triệu chứng.","Ăn chín uống sôi, rửa tay trước khi ăn và sau khi đi vệ sinh, hạn chế thức ăn lạ, ôi thiu.","Sự co thắt bất bình thường của các cơ vòng trong hệ tiêu hóa."
7,Viêm họng,"Đau họng, khó nuốt, sốt, sưng hạch bạch huyết ở cổ, amidan sưng đỏ.","Súc miệng nước muối, uống nhiều nước ấm, dùng thuốc giảm đau, kháng sinh (nếu do vi khuẩn).","Giữ ấm cổ, tránh uống nước đá, vệ sinh răng miệng sạch sẽ, đeo khẩu trang khi ra đường.","Tình trạng viêm niêm mạc họng, thường do virus hoặc vi khuẩn gây ra."
8,Đau nửa đầu (Migraine),"Đau nhói một bên đầu, nhạy cảm với ánh sáng và tiếng ồn, buồn nôn, nôn.","Nghỉ ngơi trong phòng tối, yên tĩnh, dùng thuốc giảm đau, thuốc cắt cơn đau nửa đầu.","Tránh các yếu tố kích thích (thức ăn, stress, thiếu ngủ), tập thể dục, ngủ đủ giấc.","Một loại đau đầu nguyên phát, thường đau một bên đầu theo nhịp mạch đập."
9,Dị ứng thời tiết,"Hắt hơi, sổ mũi, ngứa mắt, ngứa mũi, nổi mề đay, mẩn ngứa ngoài da.","Tránh tiếp xúc với tác nhân gây dị ứng (lạnh, phấn hoa...), dùng thuốc kháng histamin.","Giữ ấm cơ thể khi trời lạnh, vệ sinh nhà cửa sạch sẽ, tăng cường sức đề kháng.","Phản ứng của hệ miễn dịch đối với sự thay đổi của thời tiết."
10,Mất ngủ,"Khó đi vào giấc ngủ, ngủ không sâu giấc, thức dậy quá sớm, mệt mỏi sau khi ngủ dậy.","Vệ sinh giấc ngủ (phòng ngủ tối, yên tĩnh), thư giãn trước khi ngủ, hạn chế caffeine, dùng thuốc an thần (theo chỉ định).","Duy trì lịch ngủ đều đặn, tránh ngủ trưa quá nhiều, tập thể dục nhẹ nhàng, tránh thiết bị điện tử trước khi ngủ.","Rối loạn giấc ngủ phổ biến, ảnh hưởng đến chất lượng cuộc sống và sức khỏe."
11,Viêm gan B,"Mệt mỏi, buồn nôn, vàng da, vàng mắt, đau bụng phải, nước tiểu sẫm màu.","Thuốc kháng virus (Tenofovir, Entecavir), theo dõi định kỳ chức năng gan.","Tiêm vắc-xin phòng viêm gan B, tránh dùng chung kim tiêm, bàn chải đánh răng.","Bệnh viêm gan do virus HBV gây ra, có thể dẫn đến xơ gan và ung thư gan."
12,Viêm phổi,"Sốt cao, ho có đờm, khó thở, đau ngực khi thở sâu hoặc ho.","Kháng sinh (theo chỉ định bác sĩ), nghỉ ngơi, uống nhiều nước, hạ sốt.","Tiêm vắc-xin phòng viêm phổi, tránh hút thuốc, giữ ấm cơ thể.","Nhiễm trùng phổi do vi khuẩn, virus hoặc nấm gây ra."
13,Sỏi thận,"Đau dữ dội vùng lưng hoặc hông, đau lan xuống bụng dưới, đi tiểu buốt, máu trong nước tiểu.","Uống nhiều nước, thuốc giảm đau, thuốc giãn cơ niệu quản, phá sỏi bằng sóng xung kích hoặc phẫu thuật.","Uống đủ nước (2-3 lít/ngày), hạn chế muối, protein động vật, thực phẩm giàu oxalate.","Sự hình thành các tinh thể cứng trong thận do khoáng chất kết tủa."
14,Viêm xoang,"Đau đầu, đau vùng mặt, nghẹt mũi, chảy mũi dịch vàng xanh, giảm khứu giác.","Rửa mũi nước muối sinh lý, thuốc thông mũi, kháng sinh (nếu nhiễm khuẩn), thuốc giảm đau.","Tránh cảm lạnh, vệ sinh mũi họng, tăng cường sức đề kháng.","Viêm niêm mạc các xoang cạnh mũi do nhiễm trùng hoặc dị ứng."
15,Gout (Bệnh gút),"Đau khớp đột ngột (thường ở ngón chân cái), sưng đỏ, nóng, nhạy cảm khi chạm.","Thuốc giảm đau chống viêm (Colchicine, NSAID), thuốc hạ acid uric, chế độ ăn ít purin.","Hạn chế thực phẩm giàu purin (nội tạng, hải sản, bia rượu), uống đủ nước, kiểm soát cân nặng.","Bệnh do lắng đọng tinh thể acid uric trong khớp gây viêm."
16,Trĩ,"Đau, ngứa vùng hậu môn, chảy máu khi đi cầu, sa búi trĩ.","Thuốc bôi giảm đau, ngồi ngâm nước ấm, ăn nhiều chất xơ, uống nhiều nước, phẫu thuật (nếu nặng).","Ăn nhiều rau xanh, trái cây, uống đủ nước, tránh ngồi lâu, tập thể dục.","Tĩnh mạch ở hậu môn và trực tràng bị sưng, giãn do tăng áp lực."
17,Viêm đại tràng,"Đau bụng, tiêu chảy kéo dài, phân có máu hoặc nhầy, sụt cân.","Thuốc kháng viêm, thuốc ức chế miễn dịch, chế độ ăn phù hợp, phẫu thuật (nếu nặng).","Ăn uống lành mạnh, giảm stress, tránh thực phẩm kích thích.","Viêm mãn tính niêm mạc đại tràng, có thể do tự miễn hoặc nhiễm trùng."
18,Viêm amidan,"Đau họng, khó nuốt, sốt, amidan sưng đỏ có mủ, hôi miệng.","Kháng sinh (nếu do vi khuẩn), thuốc giảm đau hạ sốt, súc miệng nước muối, cắt amidan (nếu tái phát nhiều).","Vệ sinh răng miệng, tăng cường sức đề kháng, tránh lạnh.","Viêm nhiễm các tuyến amidan ở họng do vi khuẩn hoặc virus."
19,Viêm tai giữa,"Đau tai, sốt, giảm thính lực, chảy dịch tai, ù tai.","Kháng sinh, thuốc giảm đau, chọc dò tai (nếu có mủ tích tụ).","Điều trị kịp thời viêm đường hô hấp trên, tránh nước vào tai.","Nhiễm trùng khoang tai giữa, thường sau viêm mũi họng."
20,Viêm da cơ địa (Eczema),"Da khô, ngứa, đỏ, nứt nẻ, có vảy, mụn nước.","Kem dưỡng ẩm, thuốc bôi corticoid, thuốc kháng histamin, tránh tác nhân kích ứng.","Giữ da ẩm, tránh xà phòng mạnh, mặc quần áo cotton, tránh stress.","Bệnh da viêm mãn tính do rối loạn miễn dịch và di truyền."
21,Vảy nến (Psoriasis),"Mảng da đỏ, dày, có vảy bạc, ngứa, đau, khô nứt.","Thuốc bôi (corticoid, vitamin D), thuốc uống ức chế miễn dịch, quang trị liệu.","Giữ da ẩm, tránh stress, không gãi, hạn chế rượu bia.","Bệnh da tự miễn mãn tính do tế bào da tăng sinh quá nhanh."
22,Mụn trứng cá (Acne),"Mụn đầu đen, mụn đầu trắng, mụn sưng đỏ, mụn mủ, sẹo.","Rửa mặt sạch, thuốc bôi (Benzoyl peroxide, Retinoid), kháng sinh, thuốc uống (Isotretinoin nếu nặng).","Vệ sinh da mặt đúng cách, không nặn mụn, ăn uống lành mạnh.","Bệnh da do tuyến bã nhờn tiết quá nhiều, lỗ chân lông bị tắc và nhiễm khuẩn."
23,Nấm da,"Ngứa, đỏ, bong vảy, phát ban hình vòng, thay đổi màu da.","Thuốc bôi chống nấm, thuốc uống chống nấm (nếu nặng), giữ da khô ráo.","Giữ vệ sinh cá nhân, không dùng chung đồ dùng, mặc quần áo thoáng mát.","Nhiễm nấm trên da do môi trường ẩm ướt hoặc giảm miễn dịch."
24,Zona (Herpes zoster),"Đau, rát, ngứa một bên cơ thể, sau đó nổi mụn nước theo dây thần kinh.","Thuốc kháng virus (Acyclovir, Valacyclovir), thuốc giảm đau, nghỉ ngơi.","Tiêm vắc-xin phòng zona (cho người trên 50 tuổi), tăng cường sức đề kháng.","Tái hoạt động của virus Varicella-zoster (gây thủy đậu) ở dây thần kinh."
